Gene Symbol,Gene ID (HGNC),Disease Label,Disease ID (MONDO),MOI,SOP,Classification,Online Report_x,Classification Date,GCEP,Gene/Region,HGNC/ISCA,GRCh37,GRCh38,Haploinsufficiency,Triplosensitivity,Online Report_y,Date,Protein Name
SHROOM4,HGNC:29215,X-linked complex neurodevelopmental disorder,MONDO:0100148,XL,SOP8,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a94d20f8-9909-48b2-9860-d17c6dc73ec3-2021-01-13T170000.000Z,2021-01-13T17:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,SHROOM4,HGNC:29215,chrX:50334642-50557194,chrX:50575534-50814194,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SHROOM4&subject=,2012-10-10T14:32:39Z,Not Found
MAGT1,HGNC:28880,X-linked intellectual disability,MONDO:0100284,XL,SOP9,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d00155ee-71d6-4d9d-bb08-91a0dee42932-2023-02-08T170000.000Z,2023-02-08T17:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,MAGT1,HGNC:28880,chrX:77081244-77151065,chrX:77825747-77895568,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=MAGT1&subject=,2021-09-22T16:23:04Z,Not Found
DCHS1,HGNC:13681,congenital heart disease,MONDO:0005453,AD,SOP10,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ff470254-615c-4f86-8893-0431889c1472-2024-04-02T160000.000Z,2024-04-02T16:00:00.000Z,Congenital Heart Disease Gene Curation Expert Panel,DCHS1,HGNC:13681,chr11:6642561-6677040,chr11:6621330-6655809,Little Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=DCHS1&subject=,2018-08-31T19:02:23Z,Not Found
SLC34A1,HGNC:11019,Fanconi renotubular syndrome 2,MONDO:0013247,AR,SOP9,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c8aec2b2-9433-4f9f-8015-5f3dd46369d0-2022-09-06T143000.000Z,2022-09-06T14:30:00.000Z,Tubulopathy Gene Curation Expert Panel,SLC34A1,HGNC:11019,chr5:176811435-176825849,chr5:177384434-177398848,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SLC34A1&subject=,2016-08-22T17:52:20Z,Not Found
ZNF674,HGNC:17625,X-linked intellectual disability,MONDO:0100284,XL,SOP8,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5105ab37-4f59-44dc-a8b1-f28e6ed3b704-2021-05-04T170000.000Z,2021-05-04T17:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,ZNF674,HGNC:17625,chrX:46357160-46404856,chrX:46497725-46545421,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ZNF674&subject=,2023-03-28T16:36:02Z,Not Found
PKP2,HGNC:9024,Brugada syndrome 1,MONDO:0011001,AD,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_10156,2017-11-21T00:00:00,Brugada Syndrome Gene Curation Expert Panel,PKP2,HGNC:9024,chr12:32943689-33049711,chr12:32790755-32896777,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=PKP2&subject=,2023-05-10T16:50:26Z,Not Found
EN2,HGNC:3343,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP8,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_91eb2fc6-864c-4a4a-9b2d-0b2bdd695999-2021-02-16T170000.000Z,2021-02-16T17:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,EN2,HGNC:3343,chr7:155250824-155257526,chr7:155458129-155464831,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=EN2&subject=,2012-08-26T21:21:27Z,Not Found
ANK2,HGNC:493,Brugada syndrome,MONDO:0015263,AD,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_10145,2017-11-21T00:00:00,Brugada Syndrome Gene Curation Expert Panel,ANK2,HGNC:493,chr4:113626778-114304892,chr4:112705622-113383736,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ANK2&subject=,2025-01-14T17:11:45Z,Not Found
KAT6B,HGNC:17582,RASopathy,MONDO:0021060,AD,SOP6,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_fb3c40d8-3aea-45bf-949e-c3ba7d96a6b4-2019-02-04T170000.000Z,2019-02-04T17:00:00.000Z,RASopathy Gene Curation Expert Panel,KAT6B,HGNC:17582,chr10:76585013-76792382,chr10:74824936-75032624,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KAT6B&subject=,2018-04-25T16:42:12Z,Not Found
KATNAL2,HGNC:25387,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP7,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_eddbdd3e-2f6b-4b55-a951-988ee214b08b-2020-05-20T160000.000Z,2020-05-20T16:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,KATNAL2,HGNC:25387,chr18:44497557-44628614,chr18:46917594-47102243,Little Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KATNAL2&subject=,2018-11-28T17:31:10Z,Not Found
USH1G,HGNC:16356,nonsyndromic genetic hearing loss,MONDO:0019497,AR,SOP6,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_02c62d06-b496-4a48-a514-56a772fae071-2019-05-21T160000.000Z,2019-05-21T16:00:00.000Z,Hearing Loss Gene Curation Expert Panel,USH1G,HGNC:16356,chr17:72912175-72919350,chr17:74916083-74923255,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=USH1G&subject=,2016-08-22T17:53:19Z,Not Found
DPP6,HGNC:3010,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP8,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3d41cebe-5490-419d-882d-4f3c6856be07-2021-05-05T160000.000Z,2021-05-05T16:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,DPP6,HGNC:3010,chr7:153445218-154685995,chr7:153748133-154894285,Little Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=DPP6&subject=,2019-06-26T16:38:44Z,Not Found
SCN1B,HGNC:10586,Brugada syndrome 1,MONDO:0011001,AD,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_10158,2017-11-21T00:00:00,Brugada Syndrome Gene Curation Expert Panel,SCN1B,HGNC:10586,chr19:35521374-35531353,chr19:35030470-35040449,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SCN1B&subject=,2019-09-04T15:12:47Z,Not Found
CACNA1C,HGNC:1390,Brugada syndrome,MONDO:0015263,AD,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_10146,2017-11-21T00:00:00,Brugada Syndrome Gene Curation Expert Panel,CACNA1C,HGNC:1390,chr12:2162153-2807116,chr12:1970780-2697950,Little Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=CACNA1C&subject=,2016-03-24T19:23:05Z,Not Found
GJA5,HGNC:4279,congenital heart disease,MONDO:0005453,AD,SOP10,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b8c3ec84-6459-406d-92a0-0ac98c243ae7-2024-04-02T160000.000Z,2024-04-02T16:00:00.000Z,Congenital Heart Disease Gene Curation Expert Panel,GJA5,HGNC:4279,chr1:147228332-147245455,chr1:147756199-147773351,Little Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=GJA5&subject=,2012-02-23T20:46:33Z,Not Found
SMAD4,HGNC:6770,pulmonary arterial hypertension,MONDO:0015924,AD,SOP9,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_12d82f9f-8ab2-4012-a5d5-20de99f23c07-2022-11-21T170000.000Z,2022-11-21T17:00:00.000Z,Pulmonary Hypertension Gene Curation Expert Panel,SMAD4,HGNC:6770,chr18:48556583-48611412,chr18:51030213-51085042,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SMAD4&subject=,2020-12-16T17:36:40Z,Not Found
FBN1,HGNC:3603,Shprintzen-Goldberg syndrome,MONDO:0008426,AD,SOP9,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_42caf14d-6400-475b-88f3-a8a24a0832c0-2021-12-01T190000.000Z,2021-12-01T19:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,FBN1,HGNC:3603,chr15:48700510-48937906,chr15:48408313-48645709,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=FBN1&subject=,2019-12-04T17:45:52Z,Not Found
PMS2,HGNC:9122,hereditary breast carcinoma,MONDO:0016419,AD,SOP9,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_308d8362-7bd9-46a7-b2fa-ab8f671a44c9-2023-12-21T180000.000Z,2023-12-21T18:00:00.000Z,Hereditary Cancer Gene Curation Expert Panel,PMS2,HGNC:9122,chr7:6010556-6048737,chr7:5970925-6009106,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=PMS2&subject=,2015-11-16T01:20:30Z,Not Found
RELN,HGNC:9957,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP9,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c654081c-5abd-4f86-a3f7-90d7f117b93d-2023-07-19T060000.000Z,2023-07-19T06:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,RELN,HGNC:9957,chr7:103112236-103630105,chr7:103471789-103989658,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=RELN&subject=,2023-12-14T22:09:00Z,Not Found
HRAS,HGNC:5173,Noonan syndrome-like disorder with loose anagen hair,MONDO:0011899,AD,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_94630309-c540-48b3-a27f-0ee1891091c1-2018-07-25T160000.000Z,2018-07-25T16:00:00.000Z,RASopathy Gene Curation Expert Panel,HRAS,HGNC:5173,chr11:532242-535576,chr11:532242-535576,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=HRAS&subject=,2024-07-15T14:34:32Z,Not Found
KCNQ1,HGNC:6294,hypertrophic cardiomyopathy,MONDO:0005045,AD,SOP8,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5b44eee3-56ea-4596-8d3e-e4d5c0ad8d60-2022-05-09T160000.000Z,2022-05-09T16:00:00.000Z,Hereditary Cardiovascular Disease Gene Curation Expert Panel,KCNQ1,HGNC:6294,chr11:2466238-2870340,chr11:2445008-2849105,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KCNQ1&subject=,2020-10-13T16:21:49Z,Not Found
BRAF,HGNC:1097,Costello syndrome,MONDO:0009026,AD,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f229eceb-8f5e-4ecb-a484-7863b8dc7d19-2018-07-24T160000.000Z,2018-07-24T16:00:00.000Z,RASopathy Gene Curation Expert Panel,BRAF,HGNC:1097,chr7:140413128-140624729,chr7:140713328-140924929,Little Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=BRAF&subject=,2014-08-04T19:36:36Z,Not Found
KRAS,HGNC:6407,Costello syndrome,MONDO:0009026,AD,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_bc9a82d0-8447-454c-8d54-def792d20e1d-2018-07-24T160000.000Z,2018-07-24T16:00:00.000Z,RASopathy Gene Curation Expert Panel,KRAS,HGNC:6407,chr12:25358180-25403863,chr12:25205246-25250929,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KRAS&subject=,2015-10-08T19:53:52Z,Not Found
MAP2K1,HGNC:6840,Costello syndrome,MONDO:0009026,AD,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_8d28301c-df25-4c10-9edb-34be26f2838d-2018-07-24T160000.000Z,2018-07-24T16:00:00.000Z,RASopathy Gene Curation Expert Panel,MAP2K1,HGNC:6840,chr15:66679250-66783882,chr15:66386912-66491544,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=MAP2K1&subject=,2015-10-13T20:26:57Z,Not Found
CASQ2,HGNC:1513,hypertrophic cardiomyopathy,MONDO:0005045,AD,SOP9,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_07177c89-7845-4df5-ba3e-bdd415b5c8b3-2022-05-10T160000.000Z,2022-05-10T16:00:00.000Z,Hereditary Cardiovascular Disease Gene Curation Expert Panel,CASQ2,HGNC:1513,chr1:116242642-116311335,chr1:115700021-115768714,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=CASQ2&subject=,2016-08-22T17:46:41Z,Not Found
COL1A2,HGNC:2198,congenital heart disease,MONDO:0005453,UD,SOP11,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b4e87080-7e90-4e19-a3dc-e986bfd01e0f-2024-09-09T160000.000Z,2024-09-09T16:00:00.000Z,Congenital Heart Disease Gene Curation Expert Panel,COL1A2,HGNC:2198,chr7:94024207-94060539,chr7:94394895-94431227,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=COL1A2&subject=,2012-10-12T13:56:57Z,Not Found
ADGRV1,HGNC:17416,nonsyndromic genetic hearing loss,MONDO:0019497,AR,SOP6,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1f3dc96a-8fd3-4d30-98fd-1b1cf264e818-2019-03-19T160000.000Z,2019-03-19T16:00:00.000Z,Hearing Loss Gene Curation Expert Panel,ADGRV1,HGNC:17416,chr5:89854614-90460254,chr5:90558797-91164437,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ADGRV1&subject=,2021-08-23T16:03:40Z,Not Found
MYL3,HGNC:7584,dilated cardiomyopathy,MONDO:0005021,AD,SOP7,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_6fdf5074-f853-473c-bd04-2c95c172b98a-2020-10-09T160000.000Z,2020-10-09T16:00:00.000Z,Dilated Cardiomyopathy Gene Curation Expert Panel,MYL3,HGNC:7584,chr3:46899362-46904934,chr3:46857872-46882182,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=MYL3&subject=,2015-11-18T20:47:37Z,Not Found
AGTR2,HGNC:338,X-linked complex neurodevelopmental disorder,MONDO:0100148,XL,SOP7,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d7cfa2a0-e6a7-49b8-a773-b32a1dfbcd57-2020-06-02T160000.000Z,2020-06-02T16:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,AGTR2,HGNC:338,chrX:115301997-115306227,chrX:116170744-116174974,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AGTR2&subject=,2012-05-10T13:30:11Z,Not Found
PTPN11,HGNC:9644,Costello syndrome,MONDO:0009026,AD,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_72fca24b-243b-49de-9ceb-ae76e12f60a8-2018-05-31T160000.000Z,2018-05-31T16:00:00.000Z,RASopathy Gene Curation Expert Panel,PTPN11,HGNC:9644,chr12:112856751-112947722,chr12:112418947-112509918,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=PTPN11&subject=,2020-09-08T16:21:03Z,Not Found
PTPN11,HGNC:9644,cardiofaciocutaneous syndrome,MONDO:0015280,AD,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a1a2133e-4ce8-45b7-87da-1c52990d3890-2018-05-30T160000.000Z,2018-05-30T16:00:00.000Z,RASopathy Gene Curation Expert Panel,PTPN11,HGNC:9644,chr12:112856751-112947722,chr12:112418947-112509918,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=PTPN11&subject=,2020-09-08T16:21:03Z,Not Found
BTK,HGNC:1133,isolated growth hormone deficiency type III,MONDO:0010615,XL,SOP7,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_6341781b-9ba9-41b1-889a-8d65a9b3ebb7-2020-11-17T170000.000Z,2020-11-17T17:00:00.000Z,Antibody Deficiencies Gene Curation Expert Panel,BTK,HGNC:1133,chrX:100604438-100645784,chrX:101349450-101390796,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=BTK&subject=,2021-03-24T16:27:18Z,Not Found
RAF1,HGNC:9829,Costello syndrome,MONDO:0009026,AD,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_67081421-a4a3-4b62-88e0-4a78d19859ba-2018-07-24T160000.000Z,2018-07-24T16:00:00.000Z,RASopathy Gene Curation Expert Panel,RAF1,HGNC:9829,chr3:12625100-12705616,chr3:12583601-12664117,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=RAF1&subject=,2018-09-13T18:34:18Z,Not Found
TSPEAR,HGNC:1268,nonsyndromic genetic hearing loss,MONDO:0019497,AR,SOP11,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f0928b06-d3bb-41fe-8222-d7f0e6c0a25a-2024-10-31T160000.000Z,2024-10-31T16:00:00.000Z,Hearing Loss Gene Curation Expert Panel,TSPEAR,HGNC:1268,chr21:45917776-46131487,chr21:44497893-44711572,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=TSPEAR&subject=,2016-08-22T17:53:08Z,Not Found
MUTYH,HGNC:7527,colorectal cancer,MONDO:0005575,AD,SOP9,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b646b303-fb30-427c-9590-242a131624bf-2023-03-24T050000.000Z,2023-03-24T05:00:00.000Z,Hereditary Cancer Gene Curation Expert Panel,MUTYH,HGNC:7527,chr1:45794914-45806112,chr1:45329242-45340440,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=MUTYH&subject=,2015-11-11T17:23:11Z,Not Found
RAF1,HGNC:9829,cardiofaciocutaneous syndrome,MONDO:0015280,AD,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b1e7c802-14d7-435c-b396-637b728a3ae2-2018-05-31T160000.000Z,2018-05-31T16:00:00.000Z,RASopathy Gene Curation Expert Panel,RAF1,HGNC:9829,chr3:12625100-12705616,chr3:12583601-12664117,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=RAF1&subject=,2018-09-13T18:34:18Z,Not Found
RASA1,HGNC:9871,Noonan syndrome,MONDO:0018997,AD,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a957c2df-eeec-4bdf-b423-6f1667f66abd-2018-06-07T160000.000Z,2018-06-07T16:00:00.000Z,RASopathy Gene Curation Expert Panel,RASA1,HGNC:9871,chr5:86563700-86687733,chr5:87267883-87391916,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=RASA1&subject=,2020-04-22T16:05:15Z,Not Found
SHOC2,HGNC:15454,Noonan syndrome,MONDO:0018997,AD,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_185c93c8-e875-46a2-83af-a8575b19a228-2018-05-31T160000.000Z,2018-05-31T16:00:00.000Z,RASopathy Gene Curation Expert Panel,SHOC2,HGNC:15454,chr10:112679128-112773423,chr10:110919370-111013665,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SHOC2&subject=,2018-09-25T16:27:29Z,Not Found
SHOC2,HGNC:15454,Costello syndrome,MONDO:0009026,AD,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a7035ea3-d556-4aa4-b525-5ed6c02866df-2018-07-24T160000.000Z,2018-07-24T16:00:00.000Z,RASopathy Gene Curation Expert Panel,SHOC2,HGNC:15454,chr10:112679128-112773423,chr10:110919370-111013665,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SHOC2&subject=,2018-09-25T16:27:29Z,Not Found
SHOC2,HGNC:15454,cardiofaciocutaneous syndrome,MONDO:0015280,AD,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_fd8e5069-4023-4763-9b41-03350b03ee7f-2018-06-01T160000.000Z,2018-06-01T16:00:00.000Z,RASopathy Gene Curation Expert Panel,SHOC2,HGNC:15454,chr10:112679128-112773423,chr10:110919370-111013665,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SHOC2&subject=,2018-09-25T16:27:29Z,Not Found
SLC6A4,HGNC:11050,autism spectrum disorder,MONDO:0005258,AD,SOP8,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_cc4b0612-0a53-4e36-b737-5c0f49a387a1-2021-01-06T170000.000Z,2021-01-06T17:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,SLC6A4,HGNC:11050,chr17:28521337-28562715,chr17:30194319-30235697,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SLC6A4&subject=,2012-05-11T02:51:51Z,Not Found
CNTN6,HGNC:2176,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP9,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_bda9083a-7edc-4102-be62-e1c62d0a6bc2-2022-09-20T060000.000Z,2022-09-20T06:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,CNTN6,HGNC:2176,chr3:1134708-1445901,chr3:1093024-1404217,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=CNTN6&subject=,2022-09-28T16:59:38Z,Not Found
SOS1,HGNC:11187,Costello syndrome,MONDO:0009026,AD,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_cf0ea291-849a-4bd9-a12a-cd9daad7e214-2018-07-24T160000.000Z,2018-07-24T16:00:00.000Z,RASopathy Gene Curation Expert Panel,SOS1,HGNC:11187,chr2:39208690-39352009,chr2:38981549-39124868,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SOS1&subject=,2012-03-30T18:06:50Z,Not Found
SOS1,HGNC:11187,cardiofaciocutaneous syndrome,MONDO:0015280,AD,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ee5b916f-82ef-4738-82c8-46ee2fad131b-2018-06-01T160000.000Z,2018-06-01T16:00:00.000Z,RASopathy Gene Curation Expert Panel,SOS1,HGNC:11187,chr2:39208690-39352009,chr2:38981549-39124868,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SOS1&subject=,2012-03-30T18:06:50Z,Not Found
ANK2,HGNC:493,catecholaminergic polymorphic ventricular tachycardia,MONDO:0017990,AD,SOP7,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c7e5e43e-1596-4c15-bf14-e9388b204e88-2021-01-20T170000.000Z,2021-01-20T17:00:00.000Z,Catecholaminergic Polymorphic Ventricular Tachycardia Gene Curation Expert Panel,ANK2,HGNC:493,chr4:113626778-114304892,chr4:112705622-113383736,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ANK2&subject=,2025-01-14T17:11:45Z,Not Found
ANK2,HGNC:493,long QT syndrome,MONDO:0002442,AD,SOP8,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_dd577817-d668-413c-95f9-d3e08a8cf5d3-2020-12-15T002719.834Z,2020-12-15T00:27:19.834Z,Long QT Syndrome Gene Curation Expert Panel,ANK2,HGNC:493,chr4:113626778-114304892,chr4:112705622-113383736,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ANK2&subject=,2025-01-14T17:11:45Z,Not Found
CDH15,HGNC:1754,intellectual disability,MONDO:0001071,AD,SOP8,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_9295bddb-d61c-47c2-b186-97296b9c4d94-2021-02-17T170000.000Z,2021-02-17T17:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,CDH15,HGNC:1754,chr16:89238156-89261900,chr16:89171748-89195492,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=CDH15&subject=,2013-08-08T14:28:39Z,Not Found
CACNA1C,HGNC:1390,short QT syndrome,MONDO:0000453,AD,SOP7,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_51dae85e-8745-48c1-8fb9-cabc2501d3fb-2020-08-03T160000.000Z,2020-08-03T16:00:00.000Z,Short QT Syndrome Gene Curation Expert Panel,CACNA1C,HGNC:1390,chr12:2162153-2807116,chr12:1970780-2697950,Little Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=CACNA1C&subject=,2016-03-24T19:23:05Z,Not Found
