Gene/Region,Disease Label,SOP,GRCh38,Protein Name
SDHAF1,Leigh syndrome,SOP7,chr19:35995188-35996312,Succinate dehydrogenase assembly factor 1
SDHAF1,mitochondrial disease,SOP10,chr19:35995188-35996312,Succinate dehydrogenase assembly factor 1
SDHAF1,mitochondrial disease,SOP10,chr19:35995188-35996312,Succinate dehydrogenase assembly factor 1
SDHAF1,mitochondrial disease,SOP10,chr19:35995188-35996312,Succinate dehydrogenase assembly factor 1
CTNNA3,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr10:65912523-67763594,Catenin alpha-3
CTNNA3,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr10:65912523-67763594,Catenin alpha-3
CTNNA3,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr10:65912523-67763594,Catenin alpha-3
CTNNA3,congenital heart disease,SOP10,chr10:65912523-67763594,Catenin alpha-3
CTNNA3,congenital heart disease,SOP10,chr10:65912523-67763594,Catenin alpha-3
CTNNA3,congenital heart disease,SOP10,chr10:65912523-67763594,Catenin alpha-3
DISP1,holoprosencephaly,SOP9,chr1:222815039-223005995,Protein dispatched homolog 1
BLM,colorectal cancer,SOP11,chr15:90717346-90816166,RecQ-like DNA helicase BLM
BLM,colorectal cancer,SOP11,chr15:90717346-90816166,RecQ-like DNA helicase BLM
ENPP1,hypopigmentation-punctate palmoplantar keratoderma syndrome,SOP8,chr6:131808020-131895155,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1
ENPP1,hypopigmentation-punctate palmoplantar keratoderma syndrome,SOP8,chr6:131808020-131895155,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1
ENPP1,hypopigmentation-punctate palmoplantar keratoderma syndrome,SOP8,chr6:131808020-131895155,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1
DNMT3A,Heyn-Sproul-Jackson syndrome,SOP9,chr2:25227874-25342590,DNA (cytosine-5)-methyltransferase 3A
DNMT3A,Heyn-Sproul-Jackson syndrome,SOP9,chr2:25227874-25342590,DNA (cytosine-5)-methyltransferase 3A
RAF1,Noonan syndrome with multiple lentigines,SOP5,chr3:12583601-12664117,RAF proto-oncogene serine/threonine-protein kinase
RAF1,Noonan syndrome with multiple lentigines,SOP5,chr3:12583601-12664117,RAF proto-oncogene serine/threonine-protein kinase
RAF1,Noonan syndrome with multiple lentigines,SOP5,chr3:12583601-12664117,RAF proto-oncogene serine/threonine-protein kinase
RAF1,Noonan syndrome with multiple lentigines,SOP5,chr3:12583601-12664117,RAF proto-oncogene serine/threonine-protein kinase
RAF1,Noonan syndrome with multiple lentigines,SOP5,chr3:12583601-12664117,RAF proto-oncogene serine/threonine-protein kinase
RAF1,Costello syndrome,SOP5,chr3:12583601-12664117,RAF proto-oncogene serine/threonine-protein kinase
RAF1,Costello syndrome,SOP5,chr3:12583601-12664117,RAF proto-oncogene serine/threonine-protein kinase
RAF1,Costello syndrome,SOP5,chr3:12583601-12664117,RAF proto-oncogene serine/threonine-protein kinase
RAF1,Costello syndrome,SOP5,chr3:12583601-12664117,RAF proto-oncogene serine/threonine-protein kinase
RAF1,Costello syndrome,SOP5,chr3:12583601-12664117,RAF proto-oncogene serine/threonine-protein kinase
RAF1,cardiofaciocutaneous syndrome,SOP5,chr3:12583601-12664117,RAF proto-oncogene serine/threonine-protein kinase
RAF1,cardiofaciocutaneous syndrome,SOP5,chr3:12583601-12664117,RAF proto-oncogene serine/threonine-protein kinase
RAF1,cardiofaciocutaneous syndrome,SOP5,chr3:12583601-12664117,RAF proto-oncogene serine/threonine-protein kinase
RAF1,cardiofaciocutaneous syndrome,SOP5,chr3:12583601-12664117,RAF proto-oncogene serine/threonine-protein kinase
RAF1,cardiofaciocutaneous syndrome,SOP5,chr3:12583601-12664117,RAF proto-oncogene serine/threonine-protein kinase
DMXL2,nonsyndromic genetic hearing loss,SOP7,chr15:51447791-51622771,DmX-like protein 2
MAP2K2,Noonan syndrome,SOP5,chr19:4090321-4124122,Dual specificity mitogen-activated protein kinase kinase 2
MAP2K2,Noonan syndrome,SOP5,chr19:4090321-4124122,Dual specificity mitogen-activated protein kinase kinase 2
CRIPTO,congenital heart disease,SOP10,chr3:46574535-46582457,Protein Cripto
COX15,Leigh syndrome,SOP6,chr10:99694293-99732127,Heme A synthase COX15
COX15,Leigh syndrome,SOP6,chr10:99694293-99732127,Heme A synthase COX15
COX15,Leigh syndrome,SOP6,chr10:99694293-99732127,Heme A synthase COX15
CYLD,frontotemporal dementia and/or amyotrophic lateral sclerosis 8,SOP9,chr16:50742086-50801935,Ubiquitin carboxyl-terminal hydrolase CYLD
CYLD,frontotemporal dementia and/or amyotrophic lateral sclerosis 8,SOP9,chr16:50742086-50801935,Ubiquitin carboxyl-terminal hydrolase CYLD
SMARCA4,hereditary nonpolyposis colon cancer,SOP4,chr19:10961030-11062273,Transcription activator BRG1
SMARCA4,hereditary nonpolyposis colon cancer,SOP4,chr19:10961030-11062273,Transcription activator BRG1
SMARCA4,hereditary nonpolyposis colon cancer,SOP4,chr19:10961030-11062273,Transcription activator BRG1
SMARCA4,hereditary nonpolyposis colon cancer,SOP4,chr19:10961030-11062273,Transcription activator BRG1
SMARCA4,Coffin-Siris syndrome,SOP7,chr19:10961030-11062273,Transcription activator BRG1
SMARCA4,Coffin-Siris syndrome,SOP7,chr19:10961030-11062273,Transcription activator BRG1
SMARCA4,Coffin-Siris syndrome,SOP7,chr19:10961030-11062273,Transcription activator BRG1
SMARCA4,Coffin-Siris syndrome,SOP7,chr19:10961030-11062273,Transcription activator BRG1
SMARCA4,rhabdoid tumor predisposition syndrome 2,SOP5,chr19:10961030-11062273,Transcription activator BRG1
SMARCA4,rhabdoid tumor predisposition syndrome 2,SOP5,chr19:10961030-11062273,Transcription activator BRG1
SMARCA4,rhabdoid tumor predisposition syndrome 2,SOP5,chr19:10961030-11062273,Transcription activator BRG1
SMARCA4,rhabdoid tumor predisposition syndrome 2,SOP5,chr19:10961030-11062273,Transcription activator BRG1
MAP2K1,Noonan syndrome,SOP5,chr15:66386912-66491544,Dual specificity mitogen-activated protein kinase kinase 1
MAP2K1,Noonan syndrome,SOP5,chr15:66386912-66491544,Dual specificity mitogen-activated protein kinase kinase 1
MAP2K1,Noonan syndrome,SOP5,chr15:66386912-66491544,Dual specificity mitogen-activated protein kinase kinase 1
MAP2K1,Noonan syndrome,SOP5,chr15:66386912-66491544,Dual specificity mitogen-activated protein kinase kinase 1
MAP2K1,Noonan syndrome with multiple lentigines,SOP5,chr15:66386912-66491544,Dual specificity mitogen-activated protein kinase kinase 1
MAP2K1,Noonan syndrome with multiple lentigines,SOP5,chr15:66386912-66491544,Dual specificity mitogen-activated protein kinase kinase 1
MAP2K1,Noonan syndrome with multiple lentigines,SOP5,chr15:66386912-66491544,Dual specificity mitogen-activated protein kinase kinase 1
MAP2K1,Noonan syndrome with multiple lentigines,SOP5,chr15:66386912-66491544,Dual specificity mitogen-activated protein kinase kinase 1
MAP2K1,Costello syndrome,SOP5,chr15:66386912-66491544,Dual specificity mitogen-activated protein kinase kinase 1
MAP2K1,Costello syndrome,SOP5,chr15:66386912-66491544,Dual specificity mitogen-activated protein kinase kinase 1
MAP2K1,Costello syndrome,SOP5,chr15:66386912-66491544,Dual specificity mitogen-activated protein kinase kinase 1
MAP2K1,Costello syndrome,SOP5,chr15:66386912-66491544,Dual specificity mitogen-activated protein kinase kinase 1
DLGAP2,complex neurodevelopmental disorder,SOP8,chr8:737628-1708476,Disks large-associated protein 2
ENG,juvenile polyposis syndrome,SOP9,chr9:127815016-127854658,Endoglin
ENG,juvenile polyposis syndrome,SOP9,chr9:127815016-127854658,Endoglin
ENG,juvenile polyposis syndrome,SOP9,chr9:127815016-127854658,Endoglin
MYBPC3,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr11:47331406-47352702,Myosin-binding protein C
MYBPC3,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr11:47331406-47352702,Myosin-binding protein C
MYBPC3,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr11:47331406-47352702,Myosin-binding protein C
MYBPC3,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr11:47331406-47352702,Myosin-binding protein C
MYBPC3,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr11:47331406-47352702,Myosin-binding protein C
MYBPC3,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr11:47331406-47352702,Myosin-binding protein C
MYBPC3,congenital heart disease,SOP10,chr11:47331406-47352702,Myosin-binding protein C
MYBPC3,congenital heart disease,SOP10,chr11:47331406-47352702,Myosin-binding protein C
MYBPC3,congenital heart disease,SOP10,chr11:47331406-47352702,Myosin-binding protein C
MYBPC3,congenital heart disease,SOP10,chr11:47331406-47352702,Myosin-binding protein C
MYBPC3,congenital heart disease,SOP10,chr11:47331406-47352702,Myosin-binding protein C
MYBPC3,congenital heart disease,SOP10,chr11:47331406-47352702,Myosin-binding protein C
MYBPC3,dilated cardiomyopathy,SOP7,chr11:47331406-47352702,Myosin-binding protein C
MYBPC3,dilated cardiomyopathy,SOP7,chr11:47331406-47352702,Myosin-binding protein C
MYBPC3,dilated cardiomyopathy,SOP7,chr11:47331406-47352702,Myosin-binding protein C
MYBPC3,dilated cardiomyopathy,SOP7,chr11:47331406-47352702,Myosin-binding protein C
MYBPC3,dilated cardiomyopathy,SOP7,chr11:47331406-47352702,Myosin-binding protein C
MYBPC3,dilated cardiomyopathy,SOP7,chr11:47331406-47352702,Myosin-binding protein C
MYH7,congenital heart disease,SOP10,chr14:23412740-23435660,Myosin-7
MYH7,congenital heart disease,SOP10,chr14:23412740-23435660,Myosin-7
MYH7,congenital heart disease,SOP10,chr14:23412740-23435660,Myosin-7
MYH7,congenital heart disease,SOP10,chr14:23412740-23435660,Myosin-7
MYH7,congenital heart disease,SOP10,chr14:23412740-23435660,Myosin-7
MYH7,congenital heart disease,SOP10,chr14:23412740-23435660,Myosin-7
MYH7,congenital heart disease,SOP10,chr14:23412740-23435660,Myosin-7
MYH7,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr14:23412740-23435660,Myosin-7
MYH7,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr14:23412740-23435660,Myosin-7
MYH7,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr14:23412740-23435660,Myosin-7
MYH7,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr14:23412740-23435660,Myosin-7
MYH7,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr14:23412740-23435660,Myosin-7
MYH7,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr14:23412740-23435660,Myosin-7
MYH7,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr14:23412740-23435660,Myosin-7
MED13L,congenital heart disease,SOP10,chr12:115958576-116277693,Mediator of RNA polymerase II transcription subunit 13-like
MED13L,congenital heart disease,SOP10,chr12:115958576-116277693,Mediator of RNA polymerase II transcription subunit 13-like
COL9A2,Stickler syndrome,SOP6,chr1:40300489-40317286,Collagen alpha-2(IX) chain
DNASE1,systemic lupus erythematosus,SOP10,chr16:3611760-3665461,Deoxyribonuclease-1
MYL3,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr3:46857872-46882182,Myosin light chain 3
MYL3,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr3:46857872-46882182,Myosin light chain 3
MYL3,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr3:46857872-46882182,Myosin light chain 3
MYL3,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr3:46857872-46882182,Myosin light chain 3
MYL3,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr3:46857872-46882182,Myosin light chain 3
MYL3,dilated cardiomyopathy,SOP7,chr3:46857872-46882182,Myosin light chain 3
MYL3,dilated cardiomyopathy,SOP7,chr3:46857872-46882182,Myosin light chain 3
MYL3,dilated cardiomyopathy,SOP7,chr3:46857872-46882182,Myosin light chain 3
MYL3,dilated cardiomyopathy,SOP7,chr3:46857872-46882182,Myosin light chain 3
MYL3,dilated cardiomyopathy,SOP7,chr3:46857872-46882182,Myosin light chain 3
SCN5A,arrhythmogenic right ventricular cardiomyopathy,SOP6,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,arrhythmogenic right ventricular cardiomyopathy,SOP6,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,arrhythmogenic right ventricular cardiomyopathy,SOP6,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,arrhythmogenic right ventricular cardiomyopathy,SOP6,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,arrhythmogenic right ventricular cardiomyopathy,SOP6,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,arrhythmogenic right ventricular cardiomyopathy,SOP6,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,arrhythmogenic right ventricular cardiomyopathy,SOP6,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,arrhythmogenic right ventricular cardiomyopathy,SOP6,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,arrhythmogenic right ventricular cardiomyopathy,SOP6,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,arrhythmogenic right ventricular cardiomyopathy,SOP6,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,catecholaminergic polymorphic ventricular tachycardia,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,catecholaminergic polymorphic ventricular tachycardia,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,catecholaminergic polymorphic ventricular tachycardia,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,catecholaminergic polymorphic ventricular tachycardia,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,catecholaminergic polymorphic ventricular tachycardia,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,catecholaminergic polymorphic ventricular tachycardia,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,catecholaminergic polymorphic ventricular tachycardia,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,catecholaminergic polymorphic ventricular tachycardia,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,catecholaminergic polymorphic ventricular tachycardia,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,catecholaminergic polymorphic ventricular tachycardia,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,short QT syndrome,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,short QT syndrome,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,short QT syndrome,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,short QT syndrome,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,short QT syndrome,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,short QT syndrome,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,short QT syndrome,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,short QT syndrome,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,short QT syndrome,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,short QT syndrome,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,congenital heart disease,SOP11,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,congenital heart disease,SOP11,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,congenital heart disease,SOP11,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,congenital heart disease,SOP11,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,congenital heart disease,SOP11,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,congenital heart disease,SOP11,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,congenital heart disease,SOP11,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,congenital heart disease,SOP11,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,congenital heart disease,SOP11,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,congenital heart disease,SOP11,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,dilated cardiomyopathy,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,dilated cardiomyopathy,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,dilated cardiomyopathy,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,dilated cardiomyopathy,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,dilated cardiomyopathy,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,dilated cardiomyopathy,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,dilated cardiomyopathy,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,dilated cardiomyopathy,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,dilated cardiomyopathy,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,dilated cardiomyopathy,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,familial long QT syndrome,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,familial long QT syndrome,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,familial long QT syndrome,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,familial long QT syndrome,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,familial long QT syndrome,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,familial long QT syndrome,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,familial long QT syndrome,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,familial long QT syndrome,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,familial long QT syndrome,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
SCN5A,familial long QT syndrome,SOP7,chr3:38548062-38649687,Sodium channel protein type 5 subunit alpha
MET,nonsyndromic genetic hearing loss,SOP8,chr7:116672196-116798377,Hepatocyte growth factor receptor
MET,nonsyndromic genetic hearing loss,SOP8,chr7:116672196-116798377,Hepatocyte growth factor receptor
MET,nonsyndromic genetic hearing loss,SOP8,chr7:116672196-116798377,Hepatocyte growth factor receptor
MET,nonsyndromic genetic hearing loss,SOP8,chr7:116672196-116798377,Hepatocyte growth factor receptor
MET,complex neurodevelopmental disorder,SOP8,chr7:116672196-116798377,Hepatocyte growth factor receptor
MET,complex neurodevelopmental disorder,SOP8,chr7:116672196-116798377,Hepatocyte growth factor receptor
MET,complex neurodevelopmental disorder,SOP8,chr7:116672196-116798377,Hepatocyte growth factor receptor
MET,complex neurodevelopmental disorder,SOP8,chr7:116672196-116798377,Hepatocyte growth factor receptor
DSG2,dilated cardiomyopathy,SOP7,chr18:31498177-31549008,Desmoglein-2
DSG2,dilated cardiomyopathy,SOP7,chr18:31498177-31549008,Desmoglein-2
DSG2,dilated cardiomyopathy,SOP7,chr18:31498177-31549008,Desmoglein-2
DSG2,dilated cardiomyopathy,SOP7,chr18:31498177-31549008,Desmoglein-2
CNTN4,complex neurodevelopmental disorder,SOP9,chr3:2098866-3057959,Contactin-4
CNOT1,holoprosencephaly 12 with or without pancreatic agenesis,SOP9,chr16:58519951-58629826,CCR4-NOT transcription complex subunit 1
CNOT1,holoprosencephaly 12 with or without pancreatic agenesis,SOP9,chr16:58519951-58629826,CCR4-NOT transcription complex subunit 1
PSD3,antecubital pterygium syndrome,SOP4,chr8:18527303-19084805,PH and SEC7 domain-containing protein 3
FANCM,hereditary breast carcinoma,SOP11,chr14:45135930-45200890,Fanconi anemia group M protein
NOTCH1,familial thoracic aortic aneurysm and aortic dissection,SOP4,chr9:136494433-136546048,Neurogenic locus notch homolog protein 1
NOTCH1,familial thoracic aortic aneurysm and aortic dissection,SOP4,chr9:136494433-136546048,Neurogenic locus notch homolog protein 1
SDHD,mitochondrial disease,SOP8,chr11:112086873-112095794,Succinate dehydrogenase [ubiquinone] cytochrome b small subunit
SDHD,mitochondrial disease,SOP8,chr11:112086873-112095794,Succinate dehydrogenase [ubiquinone] cytochrome b small subunit
SDHD,mitochondrial disease,SOP8,chr11:112086873-112095794,Succinate dehydrogenase [ubiquinone] cytochrome b small subunit
SDHD,mitochondrial disease,SOP8,chr11:112086873-112095794,Succinate dehydrogenase [ubiquinone] cytochrome b small subunit
SDHD,mitochondrial disease,SOP8,chr11:112086873-112095794,Succinate dehydrogenase [ubiquinone] cytochrome b small subunit
SDHD,hereditary pheochromocytoma-paraganglioma,SOP8,chr11:112086873-112095794,Succinate dehydrogenase [ubiquinone] cytochrome b small subunit
SDHD,hereditary pheochromocytoma-paraganglioma,SOP8,chr11:112086873-112095794,Succinate dehydrogenase [ubiquinone] cytochrome b small subunit
SDHD,hereditary pheochromocytoma-paraganglioma,SOP8,chr11:112086873-112095794,Succinate dehydrogenase [ubiquinone] cytochrome b small subunit
SDHD,hereditary pheochromocytoma-paraganglioma,SOP8,chr11:112086873-112095794,Succinate dehydrogenase [ubiquinone] cytochrome b small subunit
SDHD,hereditary pheochromocytoma-paraganglioma,SOP8,chr11:112086873-112095794,Succinate dehydrogenase [ubiquinone] cytochrome b small subunit
COX14,mitochondrial disease,SOP8,chr12:50112236-50120453,Cytochrome c oxidase assembly protein COX14
COX14,mitochondrial disease,SOP8,chr12:50112236-50120453,Cytochrome c oxidase assembly protein COX14
MYH11,congenital heart disease,SOP11,chr16:15703135-15857028,Myosin-11
MYH11,congenital heart disease,SOP11,chr16:15703135-15857028,Myosin-11
NHP2,dyskeratosis congenita,SOP4,chr5:178149463-178153885,H/ACA ribonucleoprotein complex subunit 2
NHP2,dyskeratosis congenita,SOP4,chr5:178149463-178153885,H/ACA ribonucleoprotein complex subunit 2
ROBO1,congenital heart disease,SOP10,chr3:78597239-79767998,Roundabout homolog 1
ROBO1,congenital heart disease,SOP10,chr3:78597239-79767998,Roundabout homolog 1
ERBB4,amyotrophic lateral sclerosis type 19,SOP8,chr2:211375717-212538802,Receptor tyrosine-protein kinase erbB-4
ERBB4,amyotrophic lateral sclerosis type 19,SOP8,chr2:211375717-212538802,Receptor tyrosine-protein kinase erbB-4
NAT8L,N-acetylaspartate deficiency,SOP10,chr4:2059327-2069089,N-acetylaspartate synthetase
GJA1,congenital heart disease,SOP10,chr6:121435646-121449727,Gap junction alpha-1 protein
GJA1,congenital heart disease,SOP10,chr6:121435646-121449727,Gap junction alpha-1 protein
GJA1,nonsyndromic genetic hearing loss,SOP8,chr6:121435646-121449727,Gap junction alpha-1 protein
GJA1,nonsyndromic genetic hearing loss,SOP8,chr6:121435646-121449727,Gap junction alpha-1 protein
KDM6B,syndromic intellectual disability,SOP8,chr17:7834217-7854796,Lysine-specific demethylase 6B
SOX9,Cooks syndrome,SOP7,chr17:72121020-72126416,Transcription factor SOX-9
SOX9,Cooks syndrome,SOP7,chr17:72121020-72126416,Transcription factor SOX-9
SOX9,Cooks syndrome,SOP7,chr17:72121020-72126416,Transcription factor SOX-9
SOX9,isolated Pierre-Robin syndrome,SOP10,chr17:72121020-72126416,Transcription factor SOX-9
SOX9,isolated Pierre-Robin syndrome,SOP10,chr17:72121020-72126416,Transcription factor SOX-9
SOX9,isolated Pierre-Robin syndrome,SOP10,chr17:72121020-72126416,Transcription factor SOX-9
SOX9,campomelic dysplasia,SOP7,chr17:72121020-72126416,Transcription factor SOX-9
SOX9,campomelic dysplasia,SOP7,chr17:72121020-72126416,Transcription factor SOX-9
SOX9,campomelic dysplasia,SOP7,chr17:72121020-72126416,Transcription factor SOX-9
USH1C,nonsyndromic genetic hearing loss,SOP6,chr11:17493900-17544416,Harmonin
USH1C,nonsyndromic genetic hearing loss,SOP6,chr11:17493900-17544416,Harmonin
USH1C,nonsyndromic genetic hearing loss,SOP6,chr11:17493900-17544416,Harmonin
OTUD7A,complex neurodevelopmental disorder,SOP9,chr15:31475398-31870673,OTU domain-containing protein 7A
ATP6V1E1,autosomal recessive cutis laxa type 2C,SOP10,chr22:17592136-17628822,V-type proton ATPase subunit E 1
VEGFA,congenital heart disease,SOP10,chr6:43770211-43786487,Vascular endothelial growth factor A
ATPAF2,mitochondrial disease,SOP8,chr17:18015059-18039168,ATP synthase mitochondrial F1 complex assembly factor 2
ATPAF2,mitochondrial disease,SOP8,chr17:18015059-18039168,ATP synthase mitochondrial F1 complex assembly factor 2
SOBP,syndromic intellectual disability,SOP9,chr6:107490117-107661306,Sine oculis-binding protein homolog
SOBP,syndromic intellectual disability,SOP9,chr6:107490117-107661306,Sine oculis-binding protein homolog
RAD51C,Fanconi anemia complementation group O,SOP9,chr17:58692573-58735611,DNA repair protein RAD51 homolog 3
RAD51C,Fanconi anemia complementation group O,SOP9,chr17:58692573-58735611,DNA repair protein RAD51 homolog 3
RAD51C,Fanconi anemia complementation group O,SOP9,chr17:58692573-58735611,DNA repair protein RAD51 homolog 3
RAD51C,Fanconi anemia complementation group O,SOP9,chr17:58692573-58735611,DNA repair protein RAD51 homolog 3
RAD51C,RAD51C-related cancer predisposition,SOP10,chr17:58692573-58735611,DNA repair protein RAD51 homolog 3
RAD51C,RAD51C-related cancer predisposition,SOP10,chr17:58692573-58735611,DNA repair protein RAD51 homolog 3
RAD51C,RAD51C-related cancer predisposition,SOP10,chr17:58692573-58735611,DNA repair protein RAD51 homolog 3
RAD51C,RAD51C-related cancer predisposition,SOP10,chr17:58692573-58735611,DNA repair protein RAD51 homolog 3
NR3C2,pseudohyperaldosteronism type 2,SOP8,chr4:148078764-148445508,Mineralocorticoid receptor
NR3C2,pseudohyperaldosteronism type 2,SOP8,chr4:148078764-148445508,Mineralocorticoid receptor
LMNA,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr1:156082573-156140081,Prelamin-A/C
LMNA,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr1:156082573-156140081,Prelamin-A/C
LMNA,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr1:156082573-156140081,Prelamin-A/C
LMNA,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr1:156082573-156140081,Prelamin-A/C
LMNA,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr1:156082573-156140081,Prelamin-A/C
LMNA,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr1:156082573-156140081,Prelamin-A/C
LMNA,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr1:156082573-156140081,Prelamin-A/C
BCS1L,Leigh syndrome,SOP6,chr2:218658743-218663443,Mitochondrial chaperone BCS1
BCS1L,Leigh syndrome,SOP6,chr2:218658743-218663443,Mitochondrial chaperone BCS1
PRPS1,phosphoribosylpyrophosphate synthetase superactivity,SOP7,chrX:107628510-107651026,Ribose-phosphate pyrophosphokinase 1
PRPS1,phosphoribosylpyrophosphate synthetase superactivity,SOP7,chrX:107628510-107651026,Ribose-phosphate pyrophosphokinase 1
PRPS1,PRPS1 deficiency disorder,SOP7,chrX:107628510-107651026,Ribose-phosphate pyrophosphokinase 1
